id,national_id,first_name,last_name,passenger_gender,weight_in_pounds,height_in_inches
0,760289513,Christopher,Youngblood,M,217.8,81.7
1,541077274,Curtis,Burk,M,231.1,82.3
2,440818434,Raymond,Walker,M,204.1,76.2
3,761086193,Emilio,Collins,M,240.1,72.5
4,871051980,Nick,Noblett,M,233.7,67.7
5,792738868,Orlando,Ward,M,203.5,74.9
6,745579200,Ronald,Conn,M,185.8,81.3
7,544678596,James,Smith,M,202.5,80.7
8,855102734,Donald,Eubanks,M,245.9,79.3
9,102554834,Art,Howard,M,189.7,80.0
10,840374033,Christopher,Perkins,M,214.8,67.5
11,233248123,Edward,Schupbach,M,185.3,80.9
12,961263437,Peter,Vargas,M,207.7,64.2
13,779196256,John,Walton,M,232.6,69.6
14,670680702,Jimmy,Walters,M,261.9,80.2
15,686724798,Douglass,Cagney,M,216.5,70.1
16,864801473,Richard,Maxwell,M,173.3,71.8
17,775667592,Linwood,Finch,M,174.2,60.4
18,488819721,Carey,Trinidad,M,275.9,75.5
19,688520186,Adam,Babcock,M,251.6,60.9
20,606339883,Pablo,Sanchez,M,206.8,68.5
21,159367338,Scott,Myers,M,218.7,66.5
22,667914613,Vicente,Swingle,M,248.2,81.2
23,367909423,William,Stroik,M,224.1,74.3
24,135067505,Gerald,Tarpey,M,160.8,59.8
25,855636666,Richard,Osdoba,M,183.0,59.6
26,384137685,Roy,Sawyer,M,259.0,69.2
27,890628415,Dan,King,M,216.5,60.5
28,810577360,Jesus,Bartlett,M,187.0,72.7
29,215724005,Joseph,Ripka,M,200.0,74.3
30,172303206,Royce,Emory,M,260.1,73.3
31,298154401,Terry,Hodgins,M,266.3,64.6
32,882901251,Julio,Porter,M,202.1,64.4
33,826819937,Richard,Doucette,M,230.2,72.5
34,947180583,Jerome,Mchargue,M,257.4,69.4
35,616713203,Cody,Ortiz,M,268.4,77.2
36,466921533,Keith,Valdez,M,280.8,66.6
37,132835302,Jason,Gentry,M,165.9,83.9
38,686903010,Rudy,Herrera,M,203.5,70.9
39,428080512,George,Mehserle,M,209.9,74.3
40,420593385,Herman,Brinkley,M,248.8,73.5
41,931278276,Michael,Hess,M,257.2,60.7
42,524053948,Anthony,Abbott,M,176.8,76.7
43,562122581,Larry,Delong,M,211.5,79.5
44,908436918,Stephen,Pena,M,247.2,82.9
45,931172349,Arthur,Lamb,M,216.6,70.9
46,104464794,Richard,Porch,M,216.7,72.0
47,233582217,Frank,Gober,M,212.8,79.0
48,824680952,James,Hart,M,166.1,59.9
49,810100200,Harry,Potter,M,262.7,83.1
50,542010275,Gordon,Byers,M,192.7,63.8
51,354134495,John,Kearney,M,239.5,62.6
52,253771221,Noel,Riley,M,168.3,64.1
53,413822774,Terrell,Wesley,M,167.7,80.5
54,237361465,Sidney,Cathey,M,182.0,81.2
55,948562044,Darrell,June,M,215.8,73.3
56,336481666,Thomas,Johnson,M,270.9,71.0
57,530607433,Philip,Julius,M,193.8,74.0
58,227049788,Christopher,Tefft,M,199.5,71.2
59,663601228,John,Rodriguez,M,248.7,63.3
60,691126582,Paul,Murrell,M,253.1,65.6
61,563461809,Jay,Eiland,M,265.5,62.9
62,923847655,Jesse,Ivancic,M,255.6,62.4
63,943471800,Kyle,Wiand,M,237.3,71.8
64,655017302,James,Valentine,M,157.1,70.3
65,913326826,Gary,Thai,M,186.6,63.5
66,461318941,Thomas,George,M,176.2,70.0
67,764051654,Thomas,Bohlen,M,229.5,61.3
68,713937023,Roger,Dawson,M,249.6,68.1
69,665346595,Virgil,Smith,M,190.1,60.8
70,250972091,Doyle,Collins,M,187.0,83.6
71,149472736,Robert,Lewandowski,M,213.6,69.2
72,247809912,Carl,Melvin,M,268.4,75.5
73,373633037,Justin,Pacheco,M,229.7,69.8
74,802357695,Milan,Raney,M,182.2,64.2
75,196579966,David,Matusz,M,196.5,82.5
76,650956754,William,Fitzsimmons,M,247.5,80.1
77,298987686,Michael,Fernandez,M,179.7,70.3
78,888395887,John,Holder,M,211.1,77.2
79,442683156,Hiram,Sinclair,M,272.3,78.6
80,138622415,Brian,Wheat,M,276.5,78.8
81,749713450,Richard,White,M,196.4,78.5
82,232827266,Ron,House,M,195.8,66.2
83,187985025,Edward,Bien,M,258.4,76.6
84,246342227,Frank,Petty,M,207.6,62.5
85,185023276,Wayne,Crespo,M,194.7,84.1
86,445585664,James,Ramirez,M,267.4,77.4
87,532593768,Ronald,Rivero,M,250.9,75.3
88,970839393,Kenneth,Jackson,M,218.2,72.2
89,971655318,George,Gordon,M,220.1,71.1
90,595889154,Don,Powers,M,208.9,81.8
91,880115780,James,Gelston,M,240.1,83.9
92,653566448,Edward,Dixon,M,221.4,79.6
93,753215840,Bradford,Stephens,M,186.9,62.7
94,174693002,Edward,Henkhaus,M,215.2,79.4
95,447123083,Napoleon,Calbert,M,206.5,71.7
96,273601867,Samuel,Jones,M,262.2,74.1
97,658818298,James,Cameron,M,184.1,81.9
98,761901212,Ray,White,M,222.2,64.7
99,613646857,Wilbur,Silverman,M,180.3,72.4
100,865835246,Joseph,Gomes,M,235.4,61.0
101,717454906,Michael,Patel,M,252.6,61.0
102,639416995,Willie,Delgado,M,215.6,69.4
103,954510668,Marcos,Krumm,M,210.1,61.5
104,948454923,Peter,Herriott,M,240.4,59.8
105,322726009,James,Abel,M,280.0,80.8
106,794872085,Jeffrey,Greer,M,280.0,65.4
107,681378363,Marcus,Hohn,M,227.3,64.5
108,624222312,Jose,Benton,M,201.1,67.5
109,488715502,Jack,Sibrel,M,236.9,83.4
110,765365682,Michael,Ellis,M,232.5,74.1
111,166416655,Donald,Williamson,M,173.3,64.3
112,870752562,Frank,Marker,M,236.4,64.3
113,174403326,Norman,Wilson,M,172.0,84.0
114,756762882,Eddie,Roszel,M,232.3,79.7
115,493554539,Robert,Lee,M,202.2,66.1
116,561083738,Kenneth,Mathews,M,185.5,70.1
117,126831188,Homer,Kelly,M,255.7,65.4
118,613766302,Ted,Long,M,272.1,64.1
119,828777418,Robert,Hunt,M,168.3,75.9
120,367876461,David,Caffee,M,259.8,75.1
121,231210356,Albert,Duhe,M,186.8,66.9
122,814796634,Stephen,Zuber,M,276.6,60.5
123,840060947,Thomas,Miller,M,260.7,78.1
124,792685614,Jacob,Kimble,M,221.9,63.7
125,426325917,Peter,Ashley,M,267.2,72.4
126,717585078,James,Pastore,M,278.7,74.0
127,114519737,Robert,Smith,M,266.0,76.3
128,721099592,Larry,Ryan,M,183.2,65.6
129,525771064,Mark,Stannard,M,244.8,59.7
130,481496381,Anthony,Simpson,M,161.9,81.6
131,162147752,Lewis,Nash,M,201.5,69.8
132,302630546,James,Palmer,M,182.1,66.7
133,616136642,Dale,Heilmann,M,240.7,70.0
134,904925953,Travis,Elliott,M,224.9,67.1
135,214162190,David,Holder,M,205.2,67.0
136,982638931,Kevin,Zink,M,207.1,75.8
137,365671122,Richard,Holleran,M,273.4,67.0
138,170369205,Jose,Monsen,M,233.6,74.1
139,424671099,Scott,Beam,M,250.2,73.2
140,489834313,Major,Woodhams,M,274.2,62.1
141,591906514,Gregory,Jones,M,218.7,61.1
142,402512672,Jason,Seaney,M,213.1,64.9
143,165936036,Peter,Wilson,M,214.8,60.0
144,124114117,Daniel,Singleton,M,240.4,76.9
145,842165373,Adrian,Gogan,M,177.4,80.2
146,333901253,John,Freeman,M,231.2,63.8
147,486010455,Jose,Reddick,M,228.3,81.4
148,930670712,Willis,Estes,M,241.9,82.3
149,421895109,Christopher,Fiorello,M,166.4,62.8
150,444569817,Cameron,Sturm,M,263.6,61.6
151,359739779,Brian,Smith,M,159.1,62.5
152,392820205,Michael,Martin,M,218.6,81.4
153,494236743,Harry,Dick,M,179.1,59.9
154,340790541,Frank,Elie,M,167.7,63.6
155,783003362,Dominick,Coleman,M,184.7,80.0
156,871063237,David,Northcraft,M,206.5,77.6
157,919454596,Michael,Lafleur,M,190.3,60.2
158,318010941,Donald,Levi,M,154.8,77.6
159,910029487,Dale,Lacount,M,173.5,83.9
160,216200002,Alex,Do,M,197.9,64.8
161,679878271,Brandon,Martin,M,246.1,77.2
162,558561437,Timothy,Smith,M,268.0,78.0
163,149215842,Weldon,West,M,249.5,61.0
164,332696597,Michael,Leone,M,189.3,65.4
165,813413892,Bobby,Koenig,M,190.4,64.9
166,952408099,Charles,Day,M,182.5,64.8
167,387875769,Leslie,Dossantos,M,190.3,61.1
168,724649526,Murray,Miller,M,191.4,80.5
169,192777005,Alan,Likes,M,234.1,73.7
170,844458821,Martin,Satchell,M,252.8,62.3
171,361742633,Roger,Coleman,M,184.0,76.5
172,740228699,Jimmy,Haskin,M,227.5,64.7
173,852724147,Anthony,Vandesande,M,200.2,61.9
174,562639966,Charles,Greenfield,M,270.9,78.3
175,639877237,Ervin,Griffith,M,213.2,75.5
176,132033690,Daniel,Capello,M,234.5,63.6
177,599874582,Robert,Johnson,M,226.7,68.8
178,826174877,Robert,May,M,220.2,62.7
179,312783404,Charles,Veatch,M,160.9,59.5
180,143562286,Jerrod,Guzman,M,227.7,61.7
181,790438714,Abel,Powers,M,162.5,75.3
182,423266156,Derek,Dossey,M,186.2,76.9
183,709850871,Todd,Tasch,M,179.2,66.5
184,976387962,Brian,Dubose,M,249.6,73.7
185,286435774,Thomas,Swift,M,235.7,81.2
186,283311226,Aaron,Kuhn,M,173.3,70.9
187,936724683,Ralph,Sturges,M,224.2,83.4
188,755110817,Melvin,Daniel,M,174.8,62.6
189,517746613,Jared,Collin,M,250.4,79.9
190,559040002,Randy,Kennedy,M,259.8,65.1
191,538377488,Ronald,Cannon,M,231.8,80.4
192,451291304,Tomas,Williamson,M,231.2,79.3
193,742580910,Dustin,Rosado,M,260.4,77.2
194,849117099,Randall,Simpson,M,245.3,60.8
195,610838193,Kevin,Martinez,M,270.7,74.9
196,329071242,Barry,Staff,M,169.6,79.8
197,302135116,Daniel,Porter,M,186.5,68.4
198,582754230,Stanley,Hayden,M,205.6,63.6
199,837758140,Yong,Hill,M,178.1,63.1
200,947312912,Herman,Bunn,M,261.2,72.3
201,503731474,Alvaro,Osborne,M,228.4,83.1
202,358475007,Albert,Snyder,M,278.4,75.3
203,646128214,Alden,Giambra,M,164.9,63.4
204,409601260,William,Eure,M,155.4,69.1
205,459435224,Barry,Peters,M,183.6,73.2
206,192420790,Andrew,Rollefson,M,258.2,64.2
207,881878431,Edwin,Smith,M,166.5,61.2
208,714116138,George,Grainger,M,242.5,59.9
209,894224178,Robert,Ludwig,M,214.8,62.9
210,698156703,Robert,Clark,M,198.9,60.9
211,817062958,Marvin,Williams,M,155.6,71.1
212,126759384,Aaron,Kozlowski,M,238.0,73.5
213,613117542,Albert,Hensley,M,182.7,73.0
214,798453258,Young,Lewis,M,184.4,72.9
215,131995279,Anthony,Culler,M,232.2,65.0
216,144029893,Billy,Palen,M,170.7,69.2
217,884528151,Charles,Allen,M,186.8,62.4
218,535491465,Maurice,Bonnette,M,269.7,64.2
219,171997351,John,Reed,M,224.0,64.2
220,816432060,Daniel,Miller,M,186.9,81.3
221,848489146,Raymond,Rogers,M,200.8,78.3
222,913212042,Philip,Fillingham,M,169.5,65.7
223,646238415,Cornelius,Laverty,M,219.6,78.0
224,134757148,Joseph,Robertson,M,274.5,63.7
225,547763679,John,Otero,M,184.7,60.4
226,355350408,Jamie,Deleon,M,189.3,77.0
227,294606370,Jesse,Pepper,M,227.3,63.6
228,753654777,Larry,Tobin,M,275.7,67.5
229,229151266,Thomas,Williams,M,257.8,62.2
230,146734540,Daniel,Evans,M,205.0,61.3
231,668371247,Kent,Jones,M,252.8,67.6
232,208916684,Sidney,Blanchard,M,172.1,71.5
233,932137911,Roger,Surina,M,213.3,80.7
234,316921939,Carlos,Buddenhagen,M,192.4,68.8
235,963295660,Walter,Sanders,M,221.1,79.0
236,932668307,Michael,Saddler,M,250.4,80.9
237,970884534,Andrew,Meeter,M,178.3,78.9
238,459166549,Kristopher,Lumpkin,M,249.4,68.5
239,797471273,David,Lewis,M,269.3,74.2
240,149165795,Peter,Forbes,M,192.7,63.7
241,513712246,Harold,Maurer,M,245.7,77.6
242,500701306,Douglas,Szczesny,M,181.5,82.9
243,847110511,Richard,Bryant,M,245.4,70.4
244,294755591,Lawrence,Kelly,M,228.2,66.9
245,413640307,William,French,M,270.9,81.4
246,991490393,Craig,Aubuchon,M,221.7,82.0
247,799638227,Paul,Stickler,M,213.2,77.0
248,844638454,Emilio,Mauffray,M,194.6,68.2
249,546469164,Thomas,Brown,M,259.0,59.8
250,738632110,Edward,Iezzi,M,247.7,59.4
251,657200833,Elliot,Breslin,M,214.8,65.8
252,390257864,Brandon,Gonzales,M,264.4,68.6
253,441532723,Mark,Orr,M,214.7,77.2
254,578687760,Damon,Frost,M,261.8,74.2
255,598974984,Richard,Nunez,M,254.7,67.6
256,725210781,Steve,Gross,M,219.1,77.2
257,948225046,Kenneth,Lavell,M,253.1,78.9
258,510563381,Donnie,Stallings,M,216.0,59.8
259,150790669,Lester,Windom,M,232.5,61.9
260,205708181,John,Kina,M,155.2,81.8
261,309495374,Craig,Houston,M,179.2,76.6
